delta_F0,mean_delta_p,wins_per_82
-0.1,-0.011800335312540771,-0.9676274956283433
-0.05,-0.005923950036943553,-0.48576390302937134
-0.02,-0.002371722901825542,-0.19448127794969444
0.0,0.0,0.0
0.02,0.002600927320428301,0.21327604027512068
0.05,0.00707035944524592,0.5797694745101655
0.08,0.012389113493694629,1.0159073064829596
0.1,0.016297298129864236,1.3363784466488673
