Category,season,game_id,team_id,opp_team_id,win,pred_prob,pred_class,cf_percent,roll15_cf_percent,roll15_diff_cf_percent,roll15_F_share_0,roll15_F_share_1,roll15_F_share_2,roll15_D_share_0,roll15_D_share_1,roll15_D_share_2
High-Confidence Miss,20232024,2023020705,16,2,1,0.263,0,0.4797979797979798,0.46861674570932627,-0.06276650858134752,0.08296654598245906,0.44285579458708285,0.02323349323156597,0.015777664416061394,0.3822354307987609,0.0
Close-Call Miss,20182019,2018020102,1,4,0,0.515,1,0.5121951219512195,0.5578878029316674,0.11577560586333484,0.32151805133132305,0.09430171723807046,0.10362881569944675,0.20454912569663528,0.19678305353494047,0.0
Possession-Dominant Loss,20182019,2018020559,1,29,0,0.517,1,0.5766590389016019,0.4908156285597783,-0.018368742880443385,0.37674912883951167,0.09706056703506996,0.10376975939307533,0.2062323259136862,0.18626760145637528,0.007536890718953975
