model_family,C,penalty,solver,roc_auc_mean,roc_auc_std,brier_mean,brier_std,logloss_mean,logloss_std,fold_roc_auc,fold_brier,fold_logloss
logistic,0.1,l2,lbfgs,0.5854893442480501,0.004544063551694209,0.24436608067701412,0.0007587588500888871,0.6817657737392022,0.0015700725766468705,"[0.5874909604169123, 0.5796142320869808, 0.591762315974312, 0.5833299898229358, 0.5852492229391096]","[0.24391539701758877, 0.24536465461161786, 0.2433955272940876, 0.2443886022918305, 0.244766222169946]","[0.6808232568212419, 0.6838468707444377, 0.6797795146260411, 0.6817793063134798, 0.6825999201908104]"
logistic,0.01,l2,lbfgs,0.5854587806258408,0.005426749119872895,0.2443787686728577,0.0009195170303405624,0.6817946694121244,0.0018991491282318318,"[0.5903982716526346, 0.5782791283784678, 0.591380160407707, 0.583701904475152, 0.5835344382152423]","[0.2435988896027026, 0.24555239302574575, 0.2433913626088228, 0.24432541804341593, 0.2450257800836015]","[0.6801958840218383, 0.6842348523068209, 0.6797633847125759, 0.6816539401672912, 0.6831252858520958]"
logistic,1.0,l2,lbfgs,0.5853683059244341,0.004336326585212544,0.24437718454805757,0.000705642328635812,0.681787525656441,0.0014587669689963422,"[0.5863347306186806, 0.5799984797461036, 0.5917250069910758, 0.583140543616413, 0.5856427686498975]","[0.24405240685558333, 0.24530004189907248, 0.2434138803233793, 0.24441850170937607, 0.24470109195287676]","[0.6810981687630435, 0.6837111793563145, 0.679820067963252, 0.6818405015889596, 0.6824677106106355]"
logistic,10.0,l2,lbfgs,0.5853402026837602,0.00433587479069392,0.24438033178973492,0.0006997410883595742,0.6817938306918675,0.0014462382907935894,"[0.5861474883383276, 0.5800141704399879, 0.591751506829636, 0.5831122836850532, 0.5856755641257965]","[0.2440733336585411, 0.24529368145843394, 0.24341613035814996, 0.24442438231542588, 0.24469413115812388]","[0.6811402858096998, 0.6836976769856792, 0.6798250900982185, 0.6818525072764958, 0.6824535932892439]"
